Text,Summary
communications about our services and the facebook companies we use information we have to communicate with you about our services and let you know about our terms policies and other important updates we may provide you marketing for our services and those of the facebook companies,how information is used for communications
business interactions we enable you and third parties like businesses to communicate and interact with each other using our services such as catalogs for businesses on whatsapp through which you can browse products and services and place orders businesses may send you transaction appointment and shipping notifications product and service updates and marketing for example you may receive flight status information for upcoming travel a receipt for something you purchased or a notification when a delivery will be made messages you receive from a business could include an offer for something that might interest you we do not want you to have a spammy experience as with all of your messages you can manage these communications and we will honor the choices you make,how does business interactions work
you share your information as you use and communicate through our services and we share your information to help us operate provide improve understand customize support and market our services,the purpose of sharing information
information associated with your account your phone number profile name and photo about information last seen information and message receipts are available to anyone who uses our services although you can configure your services settings to manage certain information available to other users including businesses with whom you communicate,Sharing personal information with other users
your contacts and others users including businesses with whom you communicate can store or reshare your information including your phone number or messages with others on and off our services you can use your services settings and the block feature in our services to manage who you communicate with on our services and certain information you share,information shared with contacts
thirdparty services when you or others use thirdparty services or other facebook company products that are integrated with our services those thirdparty services may receive information about what you or others share with them for example if you use a data backup service integrated with our services like icloud or google drive they will receive information you share with them such as your whatsapp messages if you interact with a thirdparty service or another facebook company product linked through our services such as when you use the inapp player to play content from a thirdparty platform information about you like your ip address and the fact that you are a whatsapp user may be provided to such third party or facebook company product please note that when you use thirdparty services or other facebook company products their own terms and privacy policies will govern your use of those services and products,sharing data with third party services
as part of the facebook companies whatsapp receives information from and shares information see here with the other facebook companies we may use the information we receive from them and they may use the information we share with them to help operate provide improve understand customize support and market our services and their offerings including the facebook company products this includes,sharing information between facebook companies
in the event that we are involved in a merger acquisition restructuring bankruptcy or sale of all or some of our assets we will share your information with the successor entities or new owners in connection with the transaction in accordance with applicable data protection laws,sharing information in case of sale or acquisition
we store information for as long as necessary for the purposes identified in this privacy policy including to provide our services or for other legitimate purposes such as complying with legal obligations enforcing and preventing violations of our terms or protecting or defending our rights property and users the storage periods are determined on a casebycase basis that depends on factors like the nature of the information why it is collected and processed relevant legal or operational retention needs and legal obligations,storing data for legitimate purposes
deleting your whatsapp account you can delete your whatsapp account at any time including if you want to revoke your consent to our use of your information pursuant to applicable law using our inapp delete my account feature when you delete your whatsapp account your undelivered messages are deleted from our servers as well as any of your other information we no longer need to operate and provide our services deleting your account will for example delete your account info and profile photo delete you from all whatsapp groups and delete your whatsapp message history be mindful that if you only delete whatsapp from your device without using our inapp delete my account feature your information will be stored with us for a longer period please remember that when you delete your account it does not affect your information related to the groups you created or the information other users have relating to you such as their copy of the messages you sent them,how data is handeled in case of deleting the app
we access preserve and share your information described in the information we collect section of this privacy policy above if we have a good faith belief that it is necessary to a respond pursuant to applicable law or regulations legal process or government requests b enforce our terms and any other applicable terms and policies including for investigations of potential violations c detect investigate prevent or address fraud and other illegal activity or security and technical issues or d protect the rights property and safety of our users whatsapp the other facebook companies or others including to prevent death or imminent bodily harm,sharing data to respond to law or regulations
whatsapp shares information globally both internally within the facebook companies and externally with our partners and service providers and with those with whom you communicate around the world in accordance with this privacy policy your information may for example be transferred or transmitted to or stored and processed in the united states countries or territories where the facebook companies affiliates and partners or our service providers are located or any other country or territory globally where our services are provided outside of where you live for the purposes as described in this privacy policy whatsapp uses facebooks global infrastructure and data centers including in the united states these transfers are necessary to provide the global services set forth in our terms please keep in mind that the countries or territories to which your information is transferred may have different privacy laws and protections than what you have in your home country or territory,sharing data beween facebook companies and partners
where your consent is required we will obtain your permission before i sending you news and promotional material about adobe ii accessing information stored on your device relating to your use of and engagement with services and software eg adobe connect meetings and crash reports and iii analyzing your content you can withdraw your consent to such activities at any time learn more,asking permission for collecting data
we use your personal information to enable you to register with adobe and to provide you with our services and software and other products or services that you request,the purpose of collecting personal information for registration
we also disclose personal information to other companies in the adobe family and with advertising and sales partners consistent with your choices we also share information with third parties we engage to process personal information on our behalf or when such sharing is required by law or in certain other situations,sharing personal information with other companies
when you register to use an adobe service create an adobe id or contact us for support or other offerings adobe collects information that identifies you this includes name date of birth company name title occupation job function expertise company details such as the size industry and other information about the company where a user may work when the user has provided the company name email address telephone number address country ip address browser mobile device id browser extensions connected to your adobe accounts payment billing information where an app or website is paid for eligibility information eg for student and teacher editions of apps types of services and software of interest and content of and information provided through customer support communications,collecting personal data
to help keep our databases current and to provide you the most relevant content and experiences we may combine information provided by you with information from third party sources in accordance with applicable law for example the size industry and other information about the company you work for where you have provided company name will be obtained from sources including professional networking sites and information service providers we may also collect and receive information from third parties including partners and from publicly accessible sources for purposes that include to detect prevent or otherwise address fraud security or technical issues as well as to protect against harm to the rights property or safety of adobe and our employees our users children or the public,what is information provided by third parties used for
we collect information about how you use our services and software including when you use a desktop app feature that takes you online such as a photo syncing feature depending on the services and software this information may be associated with your device or browser or it may be associated with your adobe account it includes ip address type of browser and device webpage that led you to an adobe website search terms entered into a search engine which lead you to an adobe website use and navigation of services and software collected through cookies and similar technologies or by adobe servers when you are logged in to the app or website analysis of your content eg documents photos videos activity logs direct feedback from you and metadata about your content which is sent or received using an online feature of adobe services and software or which is stored on adobe servers,collecting informtion about how the software is used
when you activate your adobe app or when you install updates to the app we collect information about your device manufacturer model ip address the adobe app version date of activation successful and unsuccessful updates your product serial number where this is required before you can start using your product you can learn more about app activation here,collecting data about device when installing updates
emails we send you may include a technology called a web beacon that tells adobe whether you have received or opened the email or clicked a link in the email if you do not want us to collect this information you can opt out of receiving adobe marketing emails,web beacon
adobe advertises online in a variety of ways including displaying adobe ads to you on other companies websites and apps and on social media platforms such as facebook and linkedin adobe websites use cookies and similar technologies provided by our own company adobe experience cloud and other companies that allow us to gather additional information to measure and improve the effectiveness of our advertising we collect information such as which ads are displayed which ads are clicked on and  where the ad was displayed,collecting data related to advertisement
adobe services and software may include buttons tools or content that link to other companies services for example a facebook like button we may collect information about your use of these features such as content liked and address information in google maps in addition when you see or interact with these buttons tools or content or view an adobe web page or app containing them some information from your browser may automatically be sent to the other company please read that companys privacy policy for more information,collecting data for third parties
adobe websites may implement google recaptcha enterprise to help prevent spam and abuse recaptcha enterprise collects hardware and software information such as device and application data and sends it to google for purposes of providing maintaining and improving recaptcha enterprise and for general security purposes this information is not used by google for personalized advertising your use of recaptcha enterprise is subject to googles privacy policy and terms of use,recapcha
you can sign in to some adobe services and software using a social networking account such as a facebook account where you give appropriate permissions we will receive information about you from your social networking account such as name location and basic demographic information,Information shared through third parties with permission
adobe has its own pages on many social networking sites for example the adobe photoshop teams facebook page we will collect information which you have made publicly available on your social networking account such as name and interests in our products and services when you interact with our social networking pages the social networking sites may provide statistics and insights to adobe which help us understand the types of actions that people take on our pages where applicable adobe and the social media sites have entered into an arrangement which determines our respective responsibilities,information collected through social media
in certain instances adobe is acting only on your behalf for personal information collected and processed by our services for example for the address book contacts shared by users when entering recipient information in such cases adobe is acting only on your instructions in order to facilitate the service requested by you and you will be responsible for the information shared in these instances we will inform you through inapp notifications or other intime communications if you submit any information relating to other people to us or to our service providers in connection with your use of adobe services and software you represent that you have the authority to do so and to permit us to use the information in accordance with this policy,collecting data related to others
adobe offers certain features that let you edit and organize your photographs videos and other types of content using characteristics like face and voice eg you can group similar faces places and image characteristics within your collection and such characteristics may be considered biometric identifiers or biometric information under certain us laws or other applicable privacy laws when you choose to use these features adobe is acting only on your instructions in order to facilitate the service requested by you these features are off by default and should you choose to enable them you can always disable these features,collecting biometric information
adobe uses the information we collect about you for the following purposes to fulfill a contract or take steps linked to a contract this is relevant where you register to use an adobe app or website whether paid or as a free trial this includes providing you with the adobe services and software for which you have registered and any other services or products that you have requested administering product or platform skill knowledge courses and other content including testing and certifications as applicable verifying your identity processing payments sending you necessary communications for example related to payments or expiration of your subscription and providing customer service or support,collecting data to fulfill a contract
where required when you give adobe your consent or otherwise consistent with your choices sending you information about adobe products and services special offers and similar information and sharing your information with third parties for their own marketing purposes placing cookies and using similar technologies in our services and software and in email communications in accordance with our cookies policy and the information provided to you when those technologies are used accessing information stored on your device relating to your use of and engagement with services and software eg adobe connect meetings and crash reports accessing information stored on your device which you allow us to receive through device based settings eg photos location and camera in order to provide certain functionality within our services and software analyzing your content including metadata about your content using techniques such as machine learning in order to improve our services and the user experience and allowing you to participate in sweepstakes contests and similar promotions and to administer these activities,Why sharing information with other third parties
for legal reasons responding to requests by government or law enforcement authorities conducting an investigation using or disclosing information as reasonably necessary to detect prevent or otherwise address fraud security potential illegal activities or technical issues and software piracy eg to confirm that software is genuine and properly licensed helping to protect you as well as adobe,Using information for legitimate purposes
we will also share your personal information with other thirdparty data controllers the types of third parties your information may be shared with include our resellers and other sales and advertising partners retailers advertisers ad agencies advertising networks and platforms information service providers fraud monitoring and prevention providers and publishers with your consent if required thirdparty data controllers may also use adobe products and services to collect and process your personal information if you are using an email address that is associated with a business domain eg yournamebusinessnamecom to access adobes services and software or if you were invited to use the services and software by a business we may provide your personal information to that business,sharing data with economy partners
we will share personal information with companies organizations government authorities or individuals outside of adobe if we have a good faith belief that access use preservation or disclosure of the information is reasonably necessary to detect prevent or otherwise address fraud security or technical issues as well as to protect against harm to the rights property or safety of adobe and our employees our users children or the public as required or permitted by law,sharing information for fraud prevention
adobe may also share your personal information when you agree to the sharing when we have a good faith belief that we are required to provide information in response to a subpoena court order or other applicable law or legal process learn more or to respond to an emergency involving the danger of death or serious bodily harm if we merge with or are acquired by another company sell an adobe website app or business unit or if all or a substantial portion of our assets are acquired by another company your information will likely be disclosed to our advisers and any prospective purchasers advisers and will be one of the assets that is transferred to the new owner,sharing personal information for law and emergencies
we may share or publish aggregate information that does not specifically identify you such as statistical information about visitors to our websites or statistical information about how customers use the adobe experience cloud,sharing statistics
there are several places within adobes services and software that allow you to post comments upload pictures participate in message boards or chats engage with blogs share technical information or submit other content for others to see sometimes you can limit who can see what you share but there are some places where what you share can be seen by the general public or other users of the service such information can appear in search engine results or through other publicly available platforms and can be crawled or searched by third parties for example when users post content on message boards online chats blogs and community forums the information posted by the user will become public some online content may remain accessible publicly even after adobe fulfils a request to delete the posters personal information,sharing information in blogs
to remove content you have shared on our services and software please use the same feature you used to share the content if another user invites you to participate in shared viewing editing or commenting of content you may be able to delete your contributions but usually the user who invited you has full control if you have questions or concerns about this please contact us,how to delete personal data
your personal information and files are stored on adobes servers and the servers of companies we hire to provide services to us,where personal information and files are stored
the main locations where we process your personal information are the us and india but we also transfer personal information to all other countries in the world where our services and software are available we carry out these transfers in compliance with applicable laws for example by putting data transfer agreements in place to help protect your personal information,where is personal information stored
adobe experience cloud solutions help our business customers personalize and improve the performance of their websites apps and marketing messages for example these customers may use adobe experience cloud solutions to collect and analyze information about how individuals use their websites learn more the information collected is stored in our services on behalf of and for use by these business customers,why information is collected by other companies
when you register for an account and create an adobe id we process and keep most personal information we have about you for as long as you are an active user of our services and software when you close your account we begin deleting certain personal information that we no longer have a business reason to retain such as your hashed password and your tokenized payment account data however we typically retain personal information related to our contract and business transactions with you for ten years after your last interaction with us,for how long information is retained
as a platform for open source innovation and collaboration personal information on all eclipse foundation websites is either meant to be shared for example records of your contributions to our open source projects or protected such as your name and email address when you subscribe to our newsletter, how is personal information treated
we will respond within 30 days to your requests to have access to your personal information collected by us we will promptly correct inaccuracies as the case may be and we will delete it and or anonymize it upon your request please contact privacyeclipseorg to make such a request,how to deal with data accessing requests
we protect the integrity of your personal information with appropriate technical and organizational measures such as using encryption for transmission of certain forms of information to help keep it secure accurate current and complete,how is personal information protected
your personal information may be stored in canada the european union and the united states always with our same high security standards,where is personal information stored
one of the primary purposes of the eclipse foundation and its websites is to enable collaborative opensource software development doing so necessarily requires us to maintain records of authorship related to all contributions any personally identifiable information collected by virtue of your contributions will be publicly available on the internet in unencrypted form and without access restriction,sharing contributions to enable collaborative opensource
we also offer services to our community which provide the ability for users of eclipse software to store data on eclipse foundation servers through services including but not limited to the user storage service and the automated error reporting initiative any data stored through these services will be publicly available on the internet in unencrypted form and without access restriction therefore you should not use these services to store passwords any personally identifiable information any confidential business information or anything else that you do not want to be generally and publicly available,data storage on eclipse foundation servers
we sometimes collect anonymous information from visits and contributions to eclipse foundation websites to help provide better service for example we keep track of the domains from which people visit and we also measure visitor activity on eclipse foundation websites but in ways that keep the information anonymous this anonymous information is sometimes known as clickstream data we may use and aggregate this data to analyze trends and statistics and to help us tailor our websites to better serve eclipse participants,purpose of collecting anonymous information form visits
some eclipse foundation website pages use cookies to better serve you when you return to the site you can set your browser to notify you before you receive a cookie giving you the chance to decide whether to accept it you can also set your browser to turn off cookies if you do so however some areas of our sites may not function properly,cookies
our sites may also set a session cookie to enable them to function properly in such cases the session cookie will only last for the length of your session and the only information recorded will be that which is necessary to enable the website to function properly and no personally identifiable information will be recorded in the session cookie,session cookies
this privacy statement was last updated on may 24 2018 a notice will be posted on this website home page for thirty 30 days whenever this privacy statement is changed,how is the privacy policy updated
information you enter into this website for example a username password email address any information that you fill out on your forum account profile or any information you post on the forum itself when you visit this website we maintain access logs of each page that you visit this includes your internet address ip and possibly the operating system browser version and other information that may be in your browsers headers,what are the collected information
no information is collected or transmitted from your computer regarding the application logs error information and source or encoded content,application logs and errors
what the information is used for to allow us to offer improve maintain and monitor the security and quality of this website to allow us to offer and maintain features such as the community forums to allow us to offer automatic update checks within the application,purpose of collecting information
you will be required to provide consent to allow us to store account and profile information for your forum account you can revoke this consent at any time by contacting us and we will remove your forum account and profile,consent to store data
we have a legitimate interest in storing your internet address ip and access logs associated with this address to help detect issues and maintain the security of this website,the purpose of storing ip address and logs
this website and any data you provide is hosted on servers located in france we reserve the right to change the location and country where these servers are located at any time servers will only be placed in countries with strong data protection and privacy laws,where data is hosted
a cookie is a file containing an identifier a string of letters and numbers that is sent by a web server to a web browser and is stored by the browser the identifier is then sent back to the server each time the browser requests a page from the server,cookies
please be aware that our community forums use session cookies which is required for its operation,session cookies
we may update this policy from time to time by publishing a new version on our website the last time this document was updated is printed at the bottom of this policy,how is the privacy policy updated
for the purposes of this statement personal information means any information that may be used to identify an individual including but not limited to a first and last name a home or other physical address and an email address or other contact information whether at work or at home in general you can visit nch softwares web pages without telling us who you are or revealing any personal information about yourself,what are personal information
if you choose to provide us with your personal information on the web we reserve the right to transfer that information within nch software or to nch softwares thirdparty service providers across borders and from your country or jurisdiction to other countries or jurisdictions around the world,dealing with personal information
some of our web pages utilize cookies and other tracking technologies a cookie is a small text file that may be used for example to collect information about website activity some cookies and other technologies may serve to recall personal information previously indicated by a web user most browsers allow you to control cookies including whether or not to accept them and how to remove them tracking technologies may record information such as internet domain and host names internet protocol ip addresses browser software and operating system types clickstream patterns and dates and times that our site is accessed our use of cookies and other tracking technologies allows us to improve our web site and your web experience we may also analyze information that does not contain personal information for trends and statistics,how cookies work
we use cookies to track users on our website in order to improve our website presence for example we use the information to assist us in deciding how to order links we also use cookies to track from where visitors to our site find us we never store personal information in cookies we will never provide cookie information to third parties,cookies
we will never sell your email address,emails are not selled
if you optin for our version update newsletter or purchase software from us we may send you marketing material you will be able to unsubscribe at any time,marketing strategy
email address will be limited to extreme cases such as notifying users of serious bugs in an application or no more than once for nonmarketing product feedback requests,how are email addresses used
our programs may collect anonymous usage data which may be sent back to use for analysis such as the number of times a menu or option is used within the program in these cases the data collected will never contain anything that can personally identify you,collecting anonymous usage data
you may choose whether or not to provide personal information to nch software please review the personal information section of the introduction in order to make this decision if you choose not to provide the personal information we request you can still visit most of nch softwares web sites but you may be unable to download or purchase our software if you chose to have a relationship with us such as a contractual or other business relationship or partnership we will naturally continue to contact you in connection with that business relationship,making the choice to whether or not you provide personal information
wherever your personal information may be held within nch software we intend to take reasonable and appropriate steps to protect the personal information that you share with us from unauthorized access or disclosure our site has security measures in place to protect against the loss misuse and unauthorized alteration of the information under our control more specifically our server uses ssl secure sockets layer security protection by encrypting all of your personal information including credit card number name and address to prevent individuals from reading this information as it travels over the internet,how personal information is secured using encryption
nch software does not intend to transfer personal information without your consent to third parties who are not bound to act on nch softwares behalf unless such transfer is legally required similarly it is against nch softwares policy to sell personal information collected online without consent,sharing personal information with third parties is allowed only for legal requirements
some nch software applications make use of google api services for features such as file or video sharing if you authorize an application to use your google account the application will store an access token on your device to invalidate this token at any time modify the apps with access to your account on the google account permissions page,using google api services
nch softwares website is not structured to attract children accordingly we do not intend to collect personal information from anyone we know to be under 13 years of age,no data is collected from people under 13
nch software reserves the right to occasionally update this privacy policy to reflect company and customer feedback or changes to privacy legislation we encourage you to periodically review this privacy policy to be informed of how nch software is protecting your personal information,how is the privacy policy updated
inkscape may access your linux mac or windows username eg cusersbob for the purpose of opening the files you want to open with it like any application this username in some cases might be included in edited svg files,the purpose of accessing pc usernames
if you choose to transmit on the web a svg file created or edited with inkscape it might contain full file paths including that username that inkscape sometimes embeds into the file for the purpose of remembering where you save png exports of specific files you can get around that by saving as optimized svg and this information will be stripped out of the file,how to transmit a svg file on the web
we may collect personal identification information from a user in a variety of ways this includes data collected from usage of activities services website features and resources offered by our website such as but not limited to visiting our site filling out forms uploading files and responding to surveys,what kind of personal information is collected
users may be asked for their name or nick name and email address as appropriate users may however visit our site anonymously we will collect personal identification information from users only if they voluntarily submit such information to us users can always refuse to supply personally identifying information except that it may prevent them from engaging in certain site related activities,procedure of collecting personal identification information
inkscape may fund development activities or reimburse individuals for expenses or similar payments for these things will require some banking information or postal address for sending checks but this information is not required by inkscape or its administrators instead the user will be directed to provide it to the software freedom conservancy who will cut the checks or conduct the money transfer directly with the user,how are money transactions handled through inkscape
data about donations a user makes to the inkscape project are recorded by the software freedom conservancy and depending on the way the user donates the money by the moneyhandling service that is used eg paypal some of the individual donation data may be shared with the project board we will not publish any data about individual donations without the donors consent software freedom conservancy privacy policy,dealing with donations data
we may collect nonpersonal identification information about users whenever they interact with our site nonpersonal identification information may include the browser name the type of computer operating system country default language ip address and similar information,collecting nonpersonal identification information
our site uses cookies to enhance the users experience the users web browser places cookies on their hard drive for recordkeeping and tracking purposes the user may set their web browser to refuse cookies or to give an alert when cookies are being sent if they do so note that some parts of the site may not function properly eg it will not be possible to login or to use any website features beyond browsing the site,cookies
inkscape may collect and use users personal information for the following purposes to run and operate our site to display content on the site correctly,collecting data to display content on the site correctly
to help us respond to your help requests more efficiently,collecting data to help requests more efficiently 
to personalize user experience,the purpose of collecting data to personalize user experience
to understand how our users as a group use the services and resources provided on our site,the purpose of collecting data to understand users
inkscape may collect and use users personal information for the following purposes to run and operate our site to display content on the site correctly to improve our sites functionality,the purpose of collecting data to run and operate the site
inkscape may collect and use users personal information for the following purposes to display content on the site correctly to run promotions contests or other community activities,the purpose of collecting data to run promotions
inkscape may collect and use users personal information for the following purposes to send users information they agreed to receive about topics we think will be of interest to them,the purpose of collecting data to send users information they agreed to receive
inkscape may collect and use users personal information for the following purposes to run and operate our site to display content on the site correctly to send periodic emails,the purpose of collecting data to display content correctly and send emails
inkscape may collect and use users personal information for the following purposes to send alerts via email or other means about events,the purpose of collecting data to send alerts
inkscape may collect and use users personal information for the following purposes to respond to their inquiries questions andor other requests via email,the purpose of collecting data to respond to inquiries
we adopt appropriate data collection storage and processing practices and security measures to protect against unauthorized access alteration disclosure or destruction of your personal information username password hash transaction information and other data stored on our site,how to protect user information
some of the information related to a users account eg date of last visit or links to social media profiles if provided may be visible to other users visiting our site,what are the visible information to other users
certain services on the website permit the user to upload files including but not limited to written text rendered artwork png etc and source artwork svg etc it is assumed by the uploading of the data that the intent is for it to be shared we provide tagging mechanisms for allowing the user to specify a license to govern the sharing of this data apart from the license no promises of nondisclosure are provided for material uploaded to the site,the process of sharing uploaded files
if a user decides to optin to our mailing list they will receive emails that may include news and project updates if at any time the user would like to unsubscribe from receiving future emails we include detailed unsubscribe instructions at the bottom of each email or the user may contact us via our site,receing emails and announcements
inkscape has the discretion to update this privacy policy at any time when we do we will post a notification on the main page of our site and revise the updated date at the bottom of this page we encourage users to frequently check this page for any changes to stay informed about how we are helping to protect the personal information we collect you acknowledge and agree that it is your responsibility to review this privacy policy periodically and become aware of modifications,how is the privacy policy updated
if you have an account and you log in to this site we will set a temporary cookie to determine if your browser accepts cookies this cookie contains no personal data and is discarded when you close your browser when you log in we will also set up several cookies to save your login information and your screen display choices login cookies last for two days and screen options cookies last for a year if you select remember me your login will persist for two weeks if you log out of your account the login cookies will be removed,cookies
these websites may collect data about you use cookies embed additional thirdparty tracking and monitor your interaction with that embedded content including tracking your interaction with the embedded content if you have an account and are logged in to that website,what is data collected by other sites
for users that register on our website if any we also store the personal information they provide in their user profile all users can see edit or delete their personal information at any time except they cannot change their username website administrators can also see and edit that information,collecting personal information for registered users
if you have an account on this site or have left comments you can request to receive an exported file of the personal data we hold about you including any data you have provided to us you can also request that we erase any personal data we hold about you this does not include any data we are obliged to keep for administrative legal or security purposes,exporting personal data for users who have requested it
while you visit our site we will track products you have viewed well use this to for example show you products you have recently viewed,tracking viewed products information
what we collect and store location ip address and browser type we will use this for purposes like estimating taxes and shipping,the purpose of tracking machine information
well also use cookies to keep track of basket contents while youre browsing our site,cookies
shipping address well ask you to enter this so we can for instance estimate shipping before you place an order and send you the order,the purpose of tracking shipping address
when you purchase from us we will ask you to provide information including your name billing address shipping address email address phone number credit card payment details and optional account information like username and password we will use this information for purposes such as to send you information about your account and order respond to your requests including refunds and complaints process payments and prevent fraud set up your account for our store comply with any legal obligations we have such as calculating taxes improve our store offerings send you marketing messages if you choose to receive them,the purpose of asking for payment information
if you create an account we will store your name address email and phone number which will be used to populate the checkout for future orders,the usage of account information
we generally store information about you for as long as we need the information for the purposes for which we collect and use it and we are not legally required to continue to keep it for example we will store order information for 10 years for tax and accounting purposes this includes your name email address and billing and shipping addresses,the purpose of storing information
members of our team have access to the information you provide us for example both administrators and shop managers can access order information like what was purchased when it was purchased and where it should be sent and customer information like your name email address and billing and shipping information,who can access data and what data is accessed
our team members have access to this information to help fulfill orders process refunds and support you,the purpose of accessing information
we accept payments through paypal when processing payments some of your data will be passed to paypal including information required to process or support the payment such as the purchase total and billing information,the process of payments
personal data in this statement means information about you including your identity finances and online behavior,what is personal information
you have the right to request a copy of the personal data we have collected about you in the past 12 months you also have the right to ask us to delete your personal data we have collected about you if you want to see or delete your personal data contact us or submit your request from your account settings we will not deny you services charge you different prices or provide you with a different level of service solely for exercising your privacy rights if you are a california resident learn more about how we have handled your privacy rights,the procedure of requesting a copy of the personal information
if you request to see or delete your personal data we will first need to verify who you are before we can respond to your request if we can not verify your identity we will not be able to fulfill your request,identity verification
